32,,48,,49,,50,,59,,60,,61,,62,
2880.01,-493.817,2170.38,-1462.88,1266.73,-894.115,2571.11,-1502.57,2320.02,-2469.93,522.254,-1996.32,1893.24,-1697.18,992.867,-2182.54
2875.06,-491.723,2173.82,-1458.77,1272.16,-894.68,2576.45,-1502.47,2315.1,-2467.65,526.448,-1999.87,1898.42,-1695.92,992.694,-2187.91
2870.04,-489.796,2177.63,-1454.99,1277.59,-895.259,2581.79,-1502.33,2310.19,-2465.37,530.598,-2003.47,1903.75,-1695.88,992.402,-2193.27
2864.94,-488.083,2181.7,-1451.51,1283.01,-895.937,2587.13,-1502.21,2305.31,-2463.02,534.714,-2007.12,1908.98,-1696.86,992.006,-2198.63
2859.77,-486.574,2186.03,-1448.34,1288.41,-896.803,2592.47,-1502.24,2300.54,-2460.45,538.838,-2010.75,1914.04,-1698.54,991.548,-2203.98
2854.57,-485.199,2190.58,-1445.5,1293.74,-897.966,2597.8,-1502.55,2296.05,-2457.42,543.061,-2014.27,1918.93,-1700.65,991.06,-2209.32
2849.36,-483.872,2195.31,-1442.98,1298.97,-899.561,2603.1,-1503.21,2292.07,-2453.75,547.516,-2017.49,1923.71,-1702.98,990.542,-2214.67
2844.15,-482.532,2200.15,-1440.68,1303.97,-901.748,2608.35,-1504.16,2288.87,-2449.39,552.331,-2020.14,1928.44,-1705.44,989.957,-2220.01
2838.95,-481.166,2205.04,-1438.49,1308.59,-904.666,2613.58,-1505.24,2286.66,-2444.44,557.536,-2021.91,1933.12,-1707.99,989.244,-2225.33
2833.75,-479.8,2209.93,-1436.3,1312.59,-908.38,2618.83,-1506.2,2285.56,-2439.14,562.998,-2022.52,1937.74,-1710.62,988.357,-2230.63
2828.54,-478.468,2214.82,-1434.08,1315.76,-912.829,2624.14,-1506.81,2285.48,-2433.72,568.456,-2021.87,1942.33,-1713.33,987.28,-2235.89
2823.31,-477.196,2219.71,-1431.9,1317.94,-917.835,2629.47,-1506.96,2286.28,-2428.36,573.657,-2020.1,1946.9,-1716.07,986.038,-2241.11
2818.07,-475.99,2224.67,-1429.87,1319.14,-923.164,2634.81,-1506.68,2287.76,-2423.16,578.504,-2017.5,1951.52,-1718.72,984.678,-2246.31
2812.81,-474.854,2229.74,-1428.12,1319.47,-928.615,2640.12,-1506.16,2289.81,-2418.14,583.093,-2014.47,1956.27,-1721.11,983.246,-2251.49
2807.54,-473.797,2234.92,-1426.76,1319.13,-934.066,2645.44,-1505.66,2292.35,-2413.36,587.616,-2011.35,1961.23,-1723.08,981.773,-2256.65
2802.24,-472.839,2240.21,-1425.86,1318.31,-939.465,2650.77,-1505.44,2295.35,-2408.85,592.234,-2008.37,1966.39,-1724.4,980.277,-2261.81
2796.93,-471.997,2245.55,-1425.46,1317.12,-944.796,2656.11,-1505.67,2298.81,-2404.68,597.013,-2005.65,1971.69,-1724.88,978.772,-2266.96
2791.6,-471.272,2250.91,-1425.58,1315.64,-950.053,2661.4,-1506.38,2302.67,-2400.88,601.95,-2003.24,1976.99,-1724.4,977.292,-2272.13
